Timestamp,,What Engineering program are you in?,What year are you in?,What is your gender?  **We're asking this to discover any gender biases in our questions**,"Are you happy with what your program provides you with (i.e. courses, job opportunities, projects, etc.)",What kind of problems do you enjoy solving?,Would you consider yourself as being creative?,"What industry can you see yourself working in, in the future? Select all that apply.",How comfortable are you working in the outdoors?,What can you see yourself doing in the future?,How do you feel about group work? ,What high school class did you enjoy the most?,What high school class did you enjoy the least?,How do you feel about computer programming?,What type of club would you consider joining?,What type of club would you NOT want to join?,What project would you want to be a part of? ,What project do you find the least interesting?,"If you could only watch one TV show for the rest of your life, what would it be?","If engineering didn’t exist, what would you consider studying?",How do you feel about working with expensive equipment?,How would you describe your drawing abilities?,You have an assignment to write an essay about anything you want. How does that make you feel?,Skill testing question: what is (4+2)x2 ?,What was the extent of your programming experience prior to entering Engineering at the University of Waterloo?
1/7/2020 18:54:42,uwaterloo.ca,Management Engineering,4th year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Optimizing processes.,I occasionally like working with others.,Math,Biology,"I code, I enjoy it and I'm good at it.",Student council (i.e. Engineering Society),Robotics club (i.e. UW Robotics Team),Optimizing the Uber Pool routes.,Designing a water treatment system for Mars.,Silicon Valley,Math,That scares me and I don't want to touch it.,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,No experience
1/16/2020 12:28:21,edu.uwaterloo.ca,Architectural Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing buildings.,I occasionally like working with others.,Math,Chemistry,I don't code but I am interested in trying it.,Student council (i.e. Engineering Society),Business club (i.e. UW Finance Association),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,House Hunters,Math,That sounds cool!,I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,No experience
12/12/2019 23:04:21,uwaterloo.ca,Architectural Engineering,2nd year,Female,Yes,Problems that are well defined.,I am somewhat creative.,Construction (i.e. Building a smart city),"Working outside would be okay, but only for short periods of time.",Designing buildings.,I enjoy working with others.,Physics,Business,I can code but it's not my favourite thing to do.,Art or design club (i.e. Fashion for Change),Hacker club (i.e. UW Hacks),Designing an Olympic village.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Health Studies,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,No experience
1/16/2020 13:41:59,uwaterloo.ca,Biomedical Engineering,1st year,Male,Yes,Problems that require some investigation.,I am very creative.,Health (i.e. Creating technology for minimally invasive surgeries),"Working outside would be okay, but only for short periods of time.",Making discoveries at the molecular level.,I enjoy working with others.,Biology,Physics,I can code but it's not my favourite thing to do.,Environment club (i.e. UW Energy Network),Autoshop club (i.e. Autonomoose Autonomous Car Club),Designing an Olympic village.,Optimizing the Uber Pool routes.,Planet Earth,Health Studies,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,No experience
1/23/2020 0:20:20,edu.uwaterloo.ca,Environmental Engineering,4th year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I occasionally like working with others.,Visual Arts,Business,I can code but it's not my favourite thing to do.,Art or design club (i.e. Fashion for Change),Consulting club (i.e. DECA),Designing an Olympic village.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",Annoyed. I would much rather be given a topic with clear instructions.,,No experience
12/10/2019 9:28:23,uwaterloo.ca,Systems Design Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am very creative.,"Business (i.e. Starting your own consulting company), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Optimizing processes.,I occasionally like working with others.,Chemistry,History,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Autoshop club (i.e. Autonomoose Autonomous Car Club),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Political Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,No experience
12/10/2019 20:19:35,edu.uwaterloo.ca,Chemical Engineering,Alumni,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Optimizing processes.,I occasionally like working with others.,Physics,Biology,I can code but it's not my favourite thing to do.,Art or design club (i.e. Fashion for Change),Robotics club (i.e. UW Robotics Team),Creating a battery from recycled material.,Building the world’s most powerful supercomputer.,Myth Busters,Health Studies,That scares me and I don't want to touch it.,I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,No experience
1/16/2020 13:50:27,uwaterloo.ca,Chemical Engineering,2nd year,Female,Yes,Problems that are well defined.,I am very creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I occasionally like working with others.,Math,Language Arts,I don't code but I am interested in trying it.,Environment club (i.e. UW Energy Network),Hacker club (i.e. UW Hacks),Creating a battery from recycled material.,Building the world’s most powerful supercomputer.,Planet Earth,Math,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,No experience
12/12/2019 15:59:23,uwaterloo.ca,Computer Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am very creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I would rather work inside.,Designing or building sensor based technology.,I occasionally like working with others.,Chemistry,Language Arts,"I code, I enjoy it and I'm good at it.",Autoshop club (i.e. Autonomoose Autonomous Car Club),Consulting club (i.e. DECA),Building the world’s most powerful supercomputer.,Creating a battery from recycled material.,Silicon Valley,Computer Science,That sounds cool!,I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,No experience
1/16/2020 12:10:14,uwaterloo.ca,Environmental Engineering,1st year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I enjoy working with others.,Physics,History,I don't code but I am interested in trying it.,Environment club (i.e. UW Energy Network),Autoshop club (i.e. Autonomoose Autonomous Car Club),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Grey’s Anatomy,English Literature,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
12/10/2019 18:36:38,uwaterloo.ca,Chemical Engineering,1st year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I occasionally like working with others.,Chemistry,Language Arts,I don't code but I am interested in trying it.,Environment club (i.e. UW Energy Network),Business club (i.e. UW Finance Association),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Breaking Bad,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
12/16/2019 10:20:42,edu.uwaterloo.ca,Civil Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)",I love the outdoors and wish I could work outside every day.,Designing buildings.,I occasionally like working with others.,Physics,Language Arts,I don't code but I am interested in trying it.,Environment club (i.e. UW Energy Network),Art or design club (i.e. Fashion for Change),Designing an Olympic village.,Optimizing the Uber Pool routes.,Silicon Valley,Applied Science,That sounds cool!,I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,No experience
1/16/2020 12:16:41,edu.uwaterloo.ca,Mechanical Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am not creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I occasionally like working with others.,Math,Chemistry,I don't code but I am interested in trying it.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Big Bang Theory,Economics,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,No experience
12/10/2019 16:40:36,uwaterloo.ca,Biomedical Engineering,1st year,Male,Yes,Problems that require some investigation.,I am very creative.,"Business (i.e. Starting your own consulting company), Environment (i.e. Producing energy in sustainable ways)","Working outside would be okay, but only for short periods of time.",Optimizing processes.,I enjoy working with others.,Language Arts,Chemistry,I don't code but I am interested in trying it.,Environment club (i.e. UW Energy Network),Consulting club or business club (i.e. DECA),Creating a battery from recycled material.,Building the world’s most powerful supercomputer.,Planet Earth,Business,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,No experience
12/15/2019 15:40:08,uwaterloo.ca,Environmental Engineering,3rd year,Female,Yes,Problems that require some investigation.,I am very creative.,"Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I enjoy working with others.,Visual Arts,Chemistry,I don't code but I am interested in trying it.,Student council (i.e. Engineering Society),Autoshop club (i.e. Autonomoose Autonomous Car Club),Creating a battery from recycled material.,Optimizing the Uber Pool routes.,Big Bang Theory,Political Science,That sounds cool!,"Really good, I can draw just about anything.",Excited! I can share my theories with the world.,,No experience
12/12/2019 21:00:29,edu.uwaterloo.ca,Architecture,3rd year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Designing buildings.,I occasionally like working with others.,Visual Arts,Physics,I don't code but I am interested in trying it.,Art or design club (i.e. Fashion for Change),Student council (i.e. Engineering Society),Designing an Olympic village.,Optimizing the Uber Pool routes.,Planet Earth,Health Studies,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
1/25/2020 11:44:01,edu.uwaterloo.ca,Architecture,3rd year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing buildings.,I occasionally like working with others.,Visual Arts,Physics,I don't code but I am interested in trying it.,Art or design club (i.e. Fashion for Change),Consulting club (i.e. DECA),Designing an Olympic village.,Optimizing the Uber Pool routes.,Planet Earth,Finance,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
12/13/2019 14:55:24,uwaterloo.ca,Management Engineering,4th year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I would rather work inside.,Optimizing processes.,I occasionally like working with others.,Math,Biology,I can code but it's not my favourite thing to do.,Consulting club (i.e. DECA),Robotics club (i.e. UW Robotics Team),Optimizing the Uber Pool routes.,Creating a battery from recycled material.,Grey’s Anatomy,Business,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,No experience
1/16/2020 14:29:01,uwaterloo.ca,Computer Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I would rather work inside.,Programming apps.,I occasionally like working with others.,Math,Language Arts,"I code, I enjoy it and I'm good at it.",Hacker club (i.e. UW Hacks),Art or design club (i.e. Fashion for Change),Building the world’s most powerful supercomputer.,Creating a battery from recycled material.,Myth Busters,Math,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,No experience
12/12/2019 17:52:00,edu.uwaterloo.ca,Geological Engineering,4th year,Female,Yes,Problems that require some investigation.,I am not creative.,Manufacturing (i.e. Optimization or automation of manufacturing processes),I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I enjoy working with others.,Biology,Language Arts,I don’t code and I have no desire to learn.,Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Designing an Olympic village.,Optimizing the Uber Pool routes.,Planet Earth,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,No experience
12/10/2019 15:42:43,uwaterloo.ca,Environmental Engineering,4th year,Male,Yes,Problems that require some investigation.,I am very creative.,"Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)",I love the outdoors and wish I could work outside every day.,Optimizing processes.,I enjoy working with others.,Physics,Biology,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Consulting club or business club (i.e. DECA),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Planet Earth,Environmental Studies,That sounds cool!,I am not very good.,Excited! I can share my theories with the world.,,No experience
1/3/2020 7:49:06,edu.uwaterloo.ca,Mechanical Engineering,3rd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,Environment (i.e. Producing energy in sustainable ways),"Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I occasionally like working with others.,Physics,Biology,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Student council (i.e. Engineering Society),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Breaking Bad,English Literature,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
1/16/2020 17:43:00,edu.uwaterloo.ca,Civil Engineering,3rd year,Female,Yes,Problems that are well defined.,I am not creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways)","Working outside would be okay, but only for short periods of time.",Designing buildings.,I enjoy working with others.,Autoshop,Visual Arts,I don't code but I am interested in trying it.,Consulting club (i.e. DECA),Student council (i.e. Engineering Society),Designing an Olympic village.,Designing a water treatment system for Mars.,Grey’s Anatomy,Health Studies,That sounds cool!,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,No experience
12/13/2019 15:04:07,edu.uwaterloo.ca,Management Engineering,4th year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,Technology (i.e. Working with cloud based software),"Working outside would be okay, but only for short periods of time.",Programming apps.,I enjoy working with others.,Math,Biology,I can code but it's not my favourite thing to do.,Consulting club (i.e. DECA),Student council (i.e. Engineering Society),Optimizing the Uber Pool routes.,Designing an Olympic village.,Planet Earth,Business,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,Minimal experience
12/13/2019 19:04:24,gmail.com,Systems Design Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Optimizing processes.,I occasionally like working with others.,Math,Chemistry,I don't code but I am interested in trying it.,Business club (i.e. UW Finance Association),Environment club (i.e. UW Energy Network),Building the world’s most powerful supercomputer.,Creating a battery from recycled material.,Planet Earth,Math,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,No experience
12/12/2019 11:26:39,uwaterloo.ca,Computer Engineering,2nd year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Programming apps.,I enjoy working with others.,Computer Science,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Optimizing the Uber Pool routes.,Prototyping a musical instrument for children with a disability.,Myth Busters,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,Minimal experience
1/9/2020 18:38:29,edu.uwaterloo.ca,Biomedical Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Physics,History,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Art or design club (i.e. Fashion for Change),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Big Bang Theory,Business,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,No experience
1/16/2020 12:47:44,EDU.UWATERLOO.CA,Biomedical Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Physics,Geography,I don't code but I am interested in trying it.,Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Prototyping a musical instrument for children with a disability.,Designing an Olympic village.,Grey’s Anatomy,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
12/11/2019 17:17:19,edu.uwaterloo.ca,Mechanical Engineering,3rd year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I would rather work inside.,Designing or building sensor based technology.,I occasionally like working with others.,Math,History,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Student council (i.e. Engineering Society),Programming a robot that can make you dinner.,Creating a battery from recycled material.,Myth Busters,Math,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,No experience
1/16/2020 13:28:44,uwaterloo.ca,Computer Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I enjoy working with others.,Chemistry,Business,"I code, I enjoy it and I'm good at it.",Student council (i.e. Engineering Society),Business club (i.e. UW Finance Association),Designing a water treatment system for Mars.,Designing an Olympic village.,Planet Earth,Computer Science,That sounds cool!,"Really good, I can draw just about anything.",A bit apprehensive. I get overwhelmed with so many options.,,Minimal experience
