Timestamp,What program are you in currently?,Gender,What year are you in?,Are you happy with your program?,1. What field interests you the most?,2. I would like to have been part of the team that was responsible for:,3. Who would be your dream professor?,4. I would enjoy working...,5. An ideal outfit to wear to work would be:,"6. When you start work, ideally you would want to...",7. I would rather design something that...,8. I would rather analyze...,9. I would rather gather information for solving a problem...,10. I prefer to...,11. I would rather work as part of a...,12. When working on a project would you rather,13. What cause do you care about the most?,14. When setting goals for yourself you find yourself thinking about...,15. You are most likely to eavesdrop in a conversation regarding,16. What subject would you like to develop your skills in?,"17. In an ideal setting, you are working with:",18. Would you prefer to be the leader on a team?
2016/11/07 12:22:23 PM EST,Civil Engineering,Female,3,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Physics,People,Yes
2016/11/07 12:22:59 PM EST,Civil Engineering,Male,3,Yes,Construction,The CN Tower,"Warren Buffett, Billionaire American Business Men",In an office,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,No
2016/11/07 12:27:14 PM EST,Civil Engineering,Male,3,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Human Rights,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,Yes
2016/11/07 12:43:50 PM EST,Civil Engineering,Male,3,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the internal components of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/07 1:40:32 PM EST,Civil Engineering,Female,2,Yes,Manufacturing,The CN Tower,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/07 1:42:28 PM EST,Civil Engineering,Female,3,Yes,Construction,The CN Tower,"David Suzuki, Environmental Activist",In the outdoors,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Math,People,No
2016/11/07 3:18:05 PM EST,Civil Engineering,Female,3,Yes,Construction,The Robot,"Warren Buffett, Billionaire American Business Men",In the outdoors,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By talking to the people who use the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Environment,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Math,People,Yes
2016/11/07 4:01:34 PM EST,Civil Engineering,Male,4,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Protective Clothing,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Listen,Focused team,Know all the requirements for the project at the beginning,Environment,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes
2016/11/07 5:00:45 PM EST,Civil Engineering,Male,1,Yes,Construction,The Automobile,"David Suzuki, Environmental Activist",In a manufacturing facility,Protective Clothing,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Focused team,Know all the requirements for the project at the beginning,Human Rights,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Machinery,Yes
2016/11/07 5:24:20 PM EST,Civil Engineering,Female,Alumni,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Math,People,Yes
2016/11/07 5:25:26 PM EST,Civil Engineering,Male,1,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A week from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Math,People,Yes
2016/11/07 5:40:06 PM EST,Civil Engineering,Male,Alumni,Yes,Construction,The CN Tower,"David Suzuki, Environmental Activist",In the outdoors,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Physics,Computers,Yes
2016/11/07 5:52:34 PM EST,Civil Engineering,Female,Alumni,Yes,Construction,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,No
2016/11/07 8:29:55 PM EST,Civil Engineering,Female,3,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Environment,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/07 8:41:20 PM EST,Civil Engineering,Female,3,Yes,Construction,The CN Tower,"David Suzuki, Environmental Activist",In an office,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Physics,People,No
2016/11/07 9:05:37 PM EST,Civil Engineering,Female,2,Yes,Construction,The CN Tower,"David Suzuki, Environmental Activist",In the outdoors,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Environment,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,No
2016/11/07 10:00:06 PM EST,Civil Engineering,Female,1,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Math,Machinery,No
2016/11/07 10:00:32 PM EST,Civil Engineering,Male,Alumni,Yes,Construction,The CN Tower,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,People,Yes
2016/11/07 10:31:17 PM EST,Civil Engineering,Female,Alumni,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,People,Yes
2016/11/07 11:04:21 PM EST,Civil Engineering,Male,3,Yes,Construction,The CN Tower,"Warren Buffett, Billionaire American Business Men",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/07 11:10:16 PM EST,Civil Engineering,Male,3,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Focused team,Know all the requirements for the project at the beginning,Environment,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Physics,People,Yes
2016/11/07 11:14:34 PM EST,Civil Engineering,Male,3,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/07 11:18:35 PM EST,Civil Engineering,Male,3,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Physics,People,Yes
2016/11/07 11:30:38 PM EST,Civil Engineering,Male,Alumni,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Environment,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Computers,Yes
2016/11/07 11:32:07 PM EST,Civil Engineering,Male,Alumni,Yes,Construction,The CN Tower,"Warren Buffett, Billionaire American Business Men",In an office,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Environment,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Math,People,No
2016/11/07 11:37:14 PM EST,Civil Engineering,Female,3,Yes,Construction,The CN Tower,"Mark Zuckerberg, Founder of Facebook",In a manufacturing facility,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Physics,People,Yes
2016/11/07 11:39:30 PM EST,Civil Engineering,Male,Alumni,Yes,Software Development,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Physics,People,Yes
2016/11/07 11:45:19 PM EST,Civil Engineering,Male,3,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,People,Yes
2016/11/07 11:53:45 PM EST,Civil Engineering,Male,Alumni,Yes,Construction,The CN Tower,"Warren Buffett, Billionaire American Business Men",In the outdoors,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Physics,People,Yes
2016/11/08 12:20:48 AM EST,Civil Engineering,Male,3,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,Yes
2016/11/08 12:42:14 AM EST,Civil Engineering,Male,Alumni,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,Today,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Physics,People,Yes
2016/11/08 6:08:55 AM EST,Civil Engineering,Female,Alumni,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,Yes
2016/11/08 6:41:38 AM EST,Civil Engineering,Male,Alumni,Yes,Construction,The CN Tower,"David Suzuki, Environmental Activist",In the outdoors,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/08 7:13:18 AM EST,Civil Engineering,Male,2,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Write,Multidisciplinary team,Continuously change and update requirements as you go,Environment,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes
2016/11/08 8:21:15 AM EST,Civil Engineering,Female,3,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Listen,Focused team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/08 8:58:32 AM EST,Civil Engineering,Male,Alumni,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Physics,People,Yes
2016/11/08 9:06:47 AM EST,Civil Engineering,Male,Alumni,Yes,Research,The CN Tower,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Math,People,No
2016/11/08 10:27:16 AM EST,Civil Engineering,Male,3,Yes,Finance,The Automobile,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Graphs and charts,By talking to the people who use the system,Read,Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,People,Yes
2016/11/08 12:31:19 PM EST,Civil Engineering,Male,Alumni,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By talking to the people who use the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Environment,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,People,Yes
2016/11/08 12:35:28 PM EST,Civil Engineering,Male,Alumni,Yes,Construction,The CN Tower,"Warren Buffett, Billionaire American Business Men",In the outdoors,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/08 2:00:18 PM EST,Civil Engineering,Female,Alumni,Yes,Construction,The CN Tower,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Focused team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Math,People,Yes
2016/11/08 2:17:16 PM EST,Civil Engineering,Female,3,Yes,Construction,Solar Panels,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/08 6:26:08 PM EST,Civil Engineering,Female,3,Yes,Manufacturing,The CN Tower,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Math,Machinery,No
2016/11/08 9:16:50 PM EST,Civil Engineering,Female,Alumni,Yes,Construction,The CN Tower,"David Suzuki, Environmental Activist",In an office,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Computers,No
2016/11/08 11:19:52 PM EST,Civil Engineering,Male,3,Yes,Finance,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/09 10:27:45 PM EST,Civil Engineering,Female,3,Yes,Finance,The CN Tower,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the internal components of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes
2016/11/10 7:24:04 PM EST,Civil Engineering,Male,2,Yes,Research,The Internet,"Mark Zuckerberg, Founder of Facebook",In an office,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes
2016/11/03 10:21:58 AM EST,Computer Engineering,Male,3,Yes,Research,The Automobile,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the internal components of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Math,People,Yes
2016/11/07 12:09:34 PM EST,Computer Engineering,Female,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By talking to the people who use the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,People,Yes
2016/11/07 12:44:29 PM EST,Computer Engineering,Male,3,Yes,Software Development,Solar Panels,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,No
2016/11/07 12:54:59 PM EST,Computer Engineering,Male,3,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In the outdoors,Extremely Casual,Work in a start up,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the inputs and outputs of the system,Read,Focused team,Continuously change and update requirements as you go,Environment,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Math,People,No
2016/11/07 12:55:57 PM EST,Computer Engineering,Male,3,Yes,Software Development,The Internet,"Warren Buffett, Billionaire American Business Men",In the outdoors,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Continuously change and update requirements as you go,Environment,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Math,People,No
2016/11/07 1:00:35 PM EST,Computer Engineering,Male,3,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes
2016/11/07 2:26:53 PM EST,Computer Engineering,Male,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A week from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,No
2016/11/07 2:32:13 PM EST,Computer Engineering,Female,3,Yes,Software Development,The Internet,"Mark Zuckerberg, Founder of Facebook",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A microchip that is smaller than usual but twice as powerful as before,Physics,Computers,Yes
2016/11/07 3:05:26 PM EST,Computer Engineering,Male,2,Yes,Software Development,The Automobile,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Talk,Focused team,Continuously change and update requirements as you go,Human Rights,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Math,Computers,No
2016/11/07 3:47:52 PM EST,Computer Engineering,Male,1,Yes,Software Development,The Robot,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A microchip that is smaller than usual but twice as powerful as before,Math,Computers,Yes
2016/11/07 4:19:06 PM EST,Computer Engineering,Male,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,Today,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Computers,No
2016/11/07 4:39:31 PM EST,Computer Engineering,Male,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,No
2016/11/07 5:07:26 PM EST,Computer Engineering,Male,2,Yes,Manufacturing,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the internal components of the system,Talk,Focused team,Continuously change and update requirements as you go,Human Rights,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes
2016/11/07 5:53:56 PM EST,Computer Engineering,Female,1,Yes,Research,The Robot,"Elon Musk, Founder of Tesla",In the outdoors,Extremely Casual,Work in a start up,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Math,Computers,Yes
2016/11/07 6:41:30 PM EST,Computer Engineering,Male,3,Yes,Software Development,Solar Panels,"Elon Musk, Founder of Tesla",In the outdoors,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Math,People,Yes
2016/11/07 7:11:14 PM EST,Computer Engineering,Male,2,Yes,Software Development,The Internet,"Mark Zuckerberg, Founder of Facebook",In an office,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,No
2016/11/07 7:47:34 PM EST,Computer Engineering,Male,4,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Read,Focused team,Continuously change and update requirements as you go,Human Rights,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes
2016/11/07 8:17:49 PM EST,Computer Engineering,Male,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Write,Focused team,Know all the requirements for the project at the beginning,Environment,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,People,No
2016/11/07 8:22:57 PM EST,Computer Engineering,Male,Alumni,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Read,Focused team,Know all the requirements for the project at the beginning,Environment,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,No
